# PSF models for SDSS Rc profiles.
# GALAXY 	 ALPHA 	 BETA 	 FWHM
ugc10445		2.1595261613	10.344080646	1.13702833841
ugc5045		2.16981481178	16.2900373924	0.904774983984
ugc4256		3.06345964423	20.5938913371	1.13357508368
ugc7021		3.71275513641	20.229515302	1.38636345102
ugc4936		2.19712238477	16.830155692	0.901031224581
ugc9406		2.82853723786	16.7939038179	1.16124925416
ugc7876		2.42508380353	21.8501452703	0.870754393031
ugc7154		2.33891619053	12.8118869934	1.10293865073
ugc5414		3.07481656672	11.1175600525	1.55977376587
ugc5228		2.33358483843	14.6946867543	1.02571733228
ugc5398		2.27821155364	13.8477065284	1.03229820903
ugc9366		2.62175141827	15.3405359744	1.12729670096
ugc6118		2.06036016026	10.3706500418	1.08337815619
ugc5279		2.8194586764	16.8274814676	1.1563426603
ugc6277		2.00481481034	13.7936274829	0.910241327791
ugc8900		3.15228233589	16.0471744928	1.32457085256
ugc7901		2.14680178026	20.6604233202	0.793081539991
ugc3876		2.30394967796	13.9006028793	1.04192238235
ugc4499		2.34219501867	14.6873521245	1.02976503881
ic2542		3.57601181856	18.7038781759	1.38967068318
ugc9943		2.2774365385	17.0269983596	0.928442151382
ugc8334		3.34282816066	16.2164419679	1.39712845134
ugc7699		2.28794157304	12.5855076328	1.08882836469
ic476		2.77933410603	12.3379250295	1.33625906383
ugc5982		2.6626164696	15.3413994469	1.14483484123
ugc9736		3.80407313	16.7383343816	1.56439743597
ugc7971		2.07128177058	9.90801659931	1.11513755721
ugc9179		2.18996898515	11.8801605915	1.07358158759
ugc9363		3.57792660063	17.9592877687	1.4194938854
ugc9858		2.04376076518	10.0627285265	1.09153249769
ugc6787		3.55132264211	16.0326890813	1.49293392167
ugc10521		3.84037217913	19.1501480103	1.47459138454
ugc5789		2.0296671501	9.79024983774	1.09951965515
ugc5556		2.16355045267	21.8235922556	0.777327814503
ugc4422		3.07554989074	9.81956332871	1.66352193947
ugc6419		4.3787283734	26.4865176513	1.42602075947
ugc9219		2.23032152287	15.0081838109	0.969794822377
ugc4393		2.5746504211	12.5741758204	1.2258400579
ugc4284		4.15462160199	27.6942006495	1.32282653449
ugc4325		3.82428780394	19.2991307449	1.46263384799
ugc5510		2.30005969253	14.1843606214	1.02944754972
ugc10075		3.59813317087	19.8903585803	1.35516837313
ugc5842		3.89098826386	12.0100995311	1.89681800958
ugc6778		2.08997092403	13.6809183181	0.952904724559
ugc9753		3.52113792462	21.0197757834	1.28944220468
ugc9465		2.04957913235	13.6269881703	0.936383099862
ugc4543		2.28390286315	13.2836859224	1.05718525783
ugc5786		2.09328168277	13.3997947495	0.964632418487
ugc8490		3.65983486811	20.1097563441	1.37073625348
ugc5721		2.67871888984	15.1146551821	1.16056342649
ugc1736		2.08275693574	16.0912884247	0.873935947738
ugc8709		2.13331931945	13.3670139377	0.98431887067
ugc5931		2.33384481701	14.0794419361	1.04854992728
ugc5351		2.1073929037	15.2877961027	0.907730891132
ugc8937		2.5797461112	14.6201203437	1.1368733475
ugc4770		3.12590374304	13.8580303396	1.41586163363
ugc4165		2.0969401215	13.1558688669	0.975471429389
ugc10652		4.25955527627	25.5678115953	1.41224583536
ugc4278		2.31143608035	16.0670909086	0.970636862333
ngc5296		2.13331931945	13.3670139377	0.98431887067
ugc5373		3.87404332824	17.2505531116	1.56885537125
ugc9866		2.78563751903	16.8963279739	1.1400934871
ugc4456		3.11320444674	16.0949961212	1.30616349764
ugc7592		2.47497887247	10.0953301204	1.3196273123
ugc4820		2.2228488435	23.1241774027	0.775500593569
ugc7278		3.8427758895	22.9397872983	1.34611450604
ugc5829		3.87115421492	25.8072981856	1.27742257893
ugc10310		2.57345944328	16.0923546943	1.07980079263
ugc7985		2.36259777233	11.8572831735	1.15935858238
ugc7853		2.00204844709	10.1272138341	1.06572687285
ugc4026		2.77933410603	12.3379250295	1.33625906383
ugc6628		4.07479030502	22.8006475645	1.43180355057
ugc4273		2.42006866145	11.9963116808	1.1804569014
ugc8863		1.9159683046	10.5515485769	0.998491457771
ugc5840		2.27278707031	18.4910021698	0.888390523907
ugc7323		2.03767902542	12.3998261635	0.977165697019
ugc9248		2.27602672175	18.1261864203	0.898735627529
ugc6523		2.59847962882	19.09428178	0.999225860032
ugc1317		3.18295303953	17.9727385945	1.26231167746
ugc7045		2.46663831053	12.6538732398	1.17060667211
ugc8852		3.3988477483	20.8573846189	1.24957606778
ugc4274		3.7907704601	20.0586263854	1.42161599218
ugc9013		3.14423101223	17.221997424	1.27438284506
ugc7766		2.16186983958	13.8858270996	0.97820228163
ugc7831		3.53676352982	20.3509613202	1.3166330841
ugc4555		2.9147617284	14.8824137736	1.27287433781
ugc5272		2.22874203385	12.3021611117	1.07314391724
ugc8403		2.41041441406	12.315234177	1.15998585443
ugc5935		2.33384481701	14.0794419361	1.04854992728
ugc9576		2.7148858624	15.177010537	1.17375838343
ugc6702		2.73481364695	15.7847741513	1.15887462163
ugc5251		3.38495290364	17.1017347286	1.37686295057
ugc10791		2.1751002403	19.4994245147	0.827526691945
ugc10757		3.52274135582	19.0716368448	1.35546245983
ugc6537		2.35756394519	10.8794684008	1.20936245713
ugc6521		2.59847962882	19.09428178	0.999225860032
ugc7861		2.00204844709	10.1272138341	1.06572687285
ugc11861		3.62583606919	19.6961608823	1.37243639764
ugc9358		3.15967416566	13.0261816511	1.47733668225
