# PSF parameters for the SDSS g band images.
#OBJECT		ALPHA(arcsec)		BETA		FWHM(arcsec)
ic2542		1.42383246145		3.75956498408		1.28132084522
ugc1317		1.59687240424		4.3058276733		1.33474127915
ugc4278		1.39319578222		4.50844125166		1.13592084568
ugc12101	1.85840115595		4.40522545831		1.53428404941
ugc7154		1.34331920159		4.14429143635		1.14632869192
ugc4936		1.3811360822		4.07907505953		1.18880108516
ugc3876		1.63982611838		4.34767495709		1.36348933104
ugc11861	1.28430985852		3.32372020983		1.23690464571
ugc4555		1.51699309812		3.85157967261		1.34722218874
ugc4770		1.59939646905		4.00047918489		1.39131840396
ugc5982		1.54685658848		4.68522708604		1.23534474278
ugc5398		1.55279997244		4.13407948517		1.32686670333
ugc1736		1.40420772109		4.35377467761		1.16669131678
ugc2183		1.64598908389		4.14706708667		1.40410314392
ic476		1.56467339789		3.82047235163		1.39573868947
ugc8852		1.49236767184		4.53603451039		1.21278173463
ugc8490		1.60721952393		4.41632315671		1.32510745486
ugc10310	1.3583141638		4.60488156287		1.09491818421
ugc5829		1.54786600214		4.16340339959		1.31758463694
ugc4256		1.26797946342		4.31004941561		1.05927498017
ugc9013		1.52286443832		3.99132315744		1.32639722774
ugc763		1.46220248543		4.0898506298		1.25677455873
ugc6628		1.4753644827		3.92779584078		1.29631197283
ugc10521	1.27199943081		3.38324759603		1.2130719314
ugc5842		2.58397622355		3.85766571967		2.2928177371
ugc5510		1.42086305971		3.80790478386		1.26974091094
ugc4499		1.66162119398		4.72557701195		1.32089264906
ugc10445	1.32155444264		4.0470232249		1.14240751606
ugc10652	1.4947016746		3.37551388367		1.42726233407
ugc5228		1.57913917235		4.41427065957		1.30228302155
ugc2141		1.52525801903		4.05479676029		1.31712182486
ugc12212	1.5683262103		4.56087398807		1.27076341025
ugc7045		1.48003801562		4.33079185944		1.23322116447
ugc6537		1.51045775747		4.08529314279		1.29903743192
ugc3915		1.13959745758		3.29765480197		1.10233277845
ugc10075	1.47458839553		3.52745345894		1.37425375964
ugc4543		1.5895705225		4.12594702376		1.3597405646
ugc5786		1.41427272092		3.68861728856		1.28607449788
ugc7323		1.19526008216		3.44279907566		1.12895159879
ugc6521		1.45642084523		4.01883664249		1.26378940008
ugc5931		1.36738196401		4.23849251007		1.15272180343
ugc3528		1.66784875443		3.57186277471		1.54369737248
ugc5251		1.6650026694		3.83837895819		1.48144417581
ugc2082		1.53554992586		4.41792081185		1.26577051329
ugc7766		1.50374151865		3.79067570455		1.34714195486
ugc4165		1.41870378645		4.23272289785		1.19687016791
ugc4273		1.43978749715		3.99415291139		1.25355419816
ugc9366		1.52524958027		4.37078883216		1.26458933995
ugc8863		1.45629012678		3.79320272791		1.30415657705
ugc7861		1.40626880809		3.86126980333		1.2471762476
ugc8334		1.3806421559		3.62530598928		1.26747999005
ugc7021		1.62375114282		4.38364385027		1.34412150199
ngc5296		1.34802732197		3.60523996108		1.24131828444
ugc6277		1.43141549855		4.01477135463		1.24277587083
ugc6118		1.31348095516		3.15356325827		1.30246763845
ugc10791	1.24945454097		4.44941654174		1.02599489936
ugc9248		1.2630303699		4.51661946769		1.02878629383
ugc9358		1.88686500986		4.38878459047		1.56093475222
ugc6419		1.43736616288		3.50108221981		1.3451137425
ugc5840		1.2132602009		3.99956369779		1.05554919145
ugc8709		1.33143820928		3.56030739479		1.23452744204
ugc5789		1.38711108651		3.50600449915		1.29707946244
ugc6702		1.15964208006		3.87768699149		1.02607043292
ugc5045		1.28997562639		4.13204467411		1.10257821654
ugc5272		1.46485276985		4.3709933766		1.21448341967
ugc5721		1.55534492978		4.45649746785		1.27608201743
ugc5414		1.64806186881		3.23175052258		1.61213087107
ugc9753		1.29991976538		4.42755880362		1.07027732746
ugc6523		1.45642084523		4.01883664249		1.26378940008
ugc8900		1.34418861675		3.88139380688		1.18873993901
ugc4026		1.56055216625		3.80885901351		1.3943816867
ugc9866		1.60460025469		4.66426888179		1.28455430426
ugc5279		1.47498546646		3.99961445611		1.28324406857
ugc9406		1.33629996583		3.9182880884		1.17567774454
ugc8937		1.46909590097		4.6818637307		1.17369709237
ugc1013		1.62021765886		4.4464429189		1.33092897567
ugc7985		1.53638628054		4.10662269238		1.31760227267
ugc10757	1.66824041161		3.72549883167		1.50876954874
ugc4393		1.68779543955		3.68124634918		1.5364883124
ugc4325		1.84781614089		4.21086869616		1.56326621037
ugc7901		1.1942445798		4.17399370074		1.01517206497
ugc9179		1.30701028854		4.01750304024		1.13434534427
ugc11557	1.39481302908		3.84862074764		1.23923586857
ugc7278		1.56639403546		3.35716651302		1.50023687819
ngc542		1.62290130073		4.44424506747		1.33348942551
ugc9969		1.75986360109		3.8977844637		1.55276823972
ugc4456		1.53236781179		3.82598649762		1.36584370576
ugc4820		1.15347200377		3.84779066641		1.02493476141
ugc5935		1.36789431053		4.2397970455		1.15296140016
ugc7699		1.27237402348		3.96702842561		1.11191545735
ugc6778		1.36976327681		4.02959100993		1.18686581656
ugc7971		1.34607984923		3.65393015534		1.2304252596
ugc6787		1.63535036575		3.24685421983		1.59555922173
ugc7876		1.29910619363		4.48849572713		1.06174311193
ugc5351		1.29483837558		4.25900188979		1.08871495685
ugc9219		1.26103344264		4.09399169945		1.08327213943
ugc9943		1.2716113644		3.9145407485		1.11934880938
ugc9465		1.41069945212		4.39729644546		1.16579882013
ugc7831		1.41126393714		4.14929548092		1.20352090041
ugc9736		1.84089340685		4.29189915406		1.5414070164
ugc9363		1.66009823775		4.47148430965		1.35956060523
